file,line,bucket,phrase,qualified_noun,context,proposed_replacement
CHAPTER-10-strategy-portfolio-and-resource-stewardship-v0.1.md,124,THRESHOLD,material,commitment should identify: resources,Every material commitment should identify: resources consumed; **alternatives delayed or excluded**; str,delete the word; state the figure (e.g. 'over $X' / 'longer than N days')
CHAPTER-10-strategy-portfolio-and-resource-stewardship-v0.1.md,184,JUDGEMENT,material,", prefer the smallest","**Where uncertainty remains material, prefer the smallest commitment capable of producing useful evidence.**","FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-10-strategy-portfolio-and-resource-stewardship-v0.1.md,206,JUDGEMENT,materially,weakens**; risk exceeds tolerance;,Pause when: authority becomes unclear; **evidence materially weakens**; risk exceeds tolerance; **resources become unavailable**; stakeholder harm eme,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-10-strategy-portfolio-and-resource-stewardship-v0.1.md,294,THRESHOLD,material,changes; **monitor resource exhaustion**;,onitor major commitments; track threshold breaches; preserve strategic evidence; identify material changes; **monitor resource exhaustion**; **surface stop conditions.**,delete the word; state the figure (e.g. 'over $X' / 'longer than N days')
CHAPTER-10-strategy-portfolio-and-resource-stewardship-v0.1.md,302,LIST,material,evidence may constitute governance,is not failure where the original assumptions no longer hold. Refusing to change despite material evidence may constitute governance failure.**,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-10-strategy-portfolio-and-resource-stewardship-v0.1.md,318,THRESHOLD,material,projects**; allocate resources without,Agents **must not**: **self-initiate material projects**; allocate resources without authority; conceal underperformance; exaggerate ex,delete the word; state the figure (e.g. 'over $X' / 'longer than N days')
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,122,JUDGEMENT,material,risk;,* material risk;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,218,JUDGEMENT,material,risk;,* reviewing material risk;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,220,LIST,material,exceptions;,* approving material exceptions;,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,327,JUDGEMENT,material,organisational unit should maintain,Every material organisational unit should maintain a charter containing:,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,370,LIST,material,doctrine without appropriate inheritance,* create material doctrine without appropriate inheritance and approval.,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,420,LIST,material,role should maintain a,Every material role should maintain a Role Charter containing:,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,479,LIST,material,"objective, process, risk, decision,","Every material objective, process, risk, decision, project, system, knowledge domain, and stakeholder co",delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,515,LIST,material,decision should identify:,Every material decision should identify:,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,561,LIST,Material,decisions should avoid one,"Material decisions should avoid one party acting as sole recommender, decider, executor, and revie",delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,565,JUDGEMENT,material,"error, misuse, self-approval, or","Nexus should separate incompatible duties where concentration of control could create material error, misuse, self-approval, or concealment.","FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,629,LIST,Material,roles should define required,Material roles should define required competence across:,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,671,JUDGEMENT,material,appointment should identify:,A material appointment should identify:,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,712,LIST,material,role should acknowledge:,A person or agent receiving a material role should acknowledge:,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,783,JUDGEMENT,material,accountability review should ask:,A material accountability review should ask:,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,827,JUDGEMENT,material,performance or conduct failure,"Where material performance or conduct failure occurs, Nexus may apply:","FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,857,JUDGEMENT,Material,incentives must be reviewed,Material incentives must be reviewed for whether they encourage:,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,883,LIST,material,conflicts involving:,Role holders must disclose material conflicts involving:,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,920,JUDGEMENT,material,;,* recorded where material;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,938,JUDGEMENT,material,risk was visible;,* material risk was visible;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,963,JUDGEMENT,material,handoff must preserve:,A material handoff must preserve:,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1014,JUDGEMENT,Material,organisational governance should preserve:,Material organisational governance should preserve:,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1033,JUDGEMENT,material,council or committee should,Every material council or committee should define:,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1095,JUDGEMENT,material,conflicts.,* remain free from material conflicts.,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1138,JUDGEMENT,material,agent must have an,Every material agent must have an accountable human or governance owner.,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1173,JUDGEMENT,material,knowledge;,* material knowledge;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1221,JUDGEMENT,materially,responsible for:,Humans remain materially responsible for:,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1233,JUDGEMENT,materially,impair:,Key-person risk exists where the loss or unavailability of an individual could materially impair:,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1245,LIST,material,key-person dependency should identify:,Every material key-person dependency should identify:,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1457,LIST,material,role transition should include:,A material role transition should include:,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1499,LIST,Material,roles should validate comprehension,Material roles should validate comprehension and capability.,delete the word; name the set (reuse fence.json where it already exists)
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,1543,JUDGEMENT,materially,lost;,* constitutional trust is materially lost;,"FOUNDER RULES: pick a proxy, accept a human gate, or cut the clause"
