file,line,verdict,why,before,after
CHAPTER-10-strategy-portfolio-and-resource-stewardship-v0.1.md,184,BREAKS,used as the predicate ('is material') — deleting it removes the verb and leaves no sentence,"**Where uncertainty remains material, prefer the smallest commitment capable of producing useful evidence.**","**Where uncertainty, prefer the smallest commitment capable of producing useful evidence.**"
CHAPTER-10-strategy-portfolio-and-resource-stewardship-v0.1.md,206,BREAKS,qualifies a universal property — without a number the rule fires on everything and gates nothing,Pause when: authority becomes unclear; **evidence materially weakens**; risk exceeds tolerance; **resources become unavailable**; stakeholder harm eme,Pause when: authority becomes unclear; **evidence weakens**; risk exceeds tolerance; **resources become unavailable**; stakeholder harm eme
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,122,BREAKS,qualifies a universal property — without a number the rule fires on everything and gates nothing,* material risk;,* risk;
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,218,BREAKS,qualifies a universal property — without a number the rule fires on everything and gates nothing,* reviewing material risk;,* reviewing risk;
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,327,DELETE,reads plainer and stricter without it,Every material organisational unit should maintain a charter containing:,Every organisational unit should maintain a charter containing:
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,565,DELETE,reads plainer and stricter without it,"Nexus should separate incompatible duties where concentration of control could create material error, misuse, self-approval, or concealment.","Nexus should separate incompatible duties where concentration of control could create error, misuse, self-approval, or concealment."
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,671,DELETE,reads plainer and stricter without it,A material appointment should identify:,An appointment should identify:
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,783,DELETE,reads plainer and stricter without it,A material accountability review should ask:,An accountability review should ask:
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,827,DELETE,reads plainer and stricter without it,"Where material performance or conduct failure occurs, Nexus may apply:","Where performance or conduct failure occurs, Nexus may apply:"
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,857,DELETE,reads plainer and stricter without it,Material incentives must be reviewed for whether they encourage:,incentives must be reviewed for whether they encourage:
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,920,DELETE,reads plainer and stricter without it,* recorded where material;,* recorded where;
CHAPTER-11-organisational-structure-roles-accountability-and-succession-v0.1.md,938,BREAKS,qualifies a universal property — without a number the rule fires on everything and gates nothing,* material risk was visible;,* risk was visible;
