workflow,verdict,rule,command
dns_takeover_scan.yml,ALLOW,,set +e
dns_takeover_scan.yml,ALLOW,,python3 scripts/dns_takeover_scan.py | tee scan_output.jsonl
dns_takeover_scan.yml,ALLOW,,"echo ""exit_code=${PIPESTATUS[0]}"" >> ""$GITHUB_OUTPUT"""
dns_takeover_scan.yml,ALLOW,,{
dns_takeover_scan.yml,ALLOW,,"echo ""# DNS Takeover Scan"""
dns_takeover_scan.yml,ALLOW,,"echo """""
dns_takeover_scan.yml,ALLOW,,if [ ! -s scan_output.jsonl ]; then
dns_takeover_scan.yml,ALLOW,,"echo ""✅ No findings."""
dns_takeover_scan.yml,ALLOW,,else
dns_takeover_scan.yml,ALLOW,,"echo ""🚨 Findings:"""
dns_takeover_scan.yml,ALLOW,,"echo """""
dns_takeover_scan.yml,ALLOW,,echo '```json'
dns_takeover_scan.yml,ALLOW,,cat scan_output.jsonl
dns_takeover_scan.yml,ALLOW,,echo '```'
dns_takeover_scan.yml,ALLOW,,fi
dns_takeover_scan.yml,ALLOW,,"} >> ""$GITHUB_STEP_SUMMARY"""
dns_takeover_scan.yml,ALLOW,,"echo ""::error::DNS takeover scan found at least one warn/critical finding — see summary."""
dns_takeover_scan.yml,ALLOW,,exit 1
dr-nrpg-stripe-watch.yml,ALLOW,,set +e
dr-nrpg-stripe-watch.yml,ALLOW,,python3 scripts/probe_dr_nrpg_stripe_keys.py --json | tee /tmp/probe.json
dr-nrpg-stripe-watch.yml,ALLOW,,code=$?
dr-nrpg-stripe-watch.yml,ALLOW,,"exit_code=$(python3 -c ""import json; print(json.load(open('/tmp/probe.json'))['exit_code'])"")"
dr-nrpg-stripe-watch.yml,ALLOW,,"if [ ""$exit_code"" = ""1"" ]; then"
dr-nrpg-stripe-watch.yml,ALLOW,,"echo ""::error::Probe could not reach dr-nrpg-platform.vercel.app"""
dr-nrpg-stripe-watch.yml,ALLOW,,exit 1
dr-nrpg-stripe-watch.yml,ALLOW,,fi
dr-nrpg-stripe-watch.yml,ALLOW,,"echo ""Probe finished with exit_code=$exit_code (0=all green, 2=secret key missing, 3=webhook missing)"""
dr-nrpg-stripe-watch.yml,ALLOW,,exit 0
fable_canary_check.yml,ALLOW,,python3 scripts/fable_canary_check.py
fence-drift-check.yml,ALLOW,,npm i -g vercel@latest
fence-drift-check.yml,ALLOW,,"mkdir -p ""$HOME/.claude/fence"""
